ticket_id,text,category,priority
TCK-10864,Requesting official formal price quote for expanding from 50 to 150 user licenses for Initech LLC. No immediate workaround available; critical customer escalation.,Billing & Payment,Low
TCK-11579,"Feature enhancement: Support multi-currency checkout (EUR, GBP, JPY, CAD) on the customer-facing billing page. Only affects a single user, but workaround is cumbersome.",Feature Request,Medium
TCK-10168,Infinite loop / UI freeze occurs whenever a user attempts uploading a 25MB CSV data file on in staging environment. Visual bug only; functional workflows remain operational.,Bug / System Error,High
TCK-11765,User stated: Kindly increase maximum file upload limit from 10MB to 100MB to support uploading short debugging screen recordings. This is blocking the entire finance department from closing month-end accounts.,Feature Request,Low
TCK-10851,"Account marked past due and suspended, but wire transfer of $3,498 was completed 3 business days ago. High severity as our SLA requires a resolution within 2 hours.",Billing & Payment,Critical
TCK-10629,Invoice #24599 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-24599. Causes immediate revenue loss and prevents checkout completion.,Billing & Payment,Medium
TCK-10752,"Account marked past due and suspended, but wire transfer of $1,057 was completed 3 business days ago. No immediate workaround available; critical customer escalation.",Billing & Payment,Critical
TCK-12093,"Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Low impact, customer is just inquiring for future planning.",Technical / IT Support,Critical
TCK-11705,Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Causes immediate revenue loss and prevents checkout completion.,Feature Request,Medium
TCK-12216,"Internal code repository server (git.internal.corp) is completely unreachable; SSH connection timed out on port 22. Low impact, customer is just inquiring for future planning.",Technical / IT Support,Critical
TCK-10074,Customer reports: Encountered a fatal crash during executing SQL query against reporting replica. The screen went completely blank and logged ERR_CONNECTION_REFUSED on port 8080. Minor inconvenience for internal staff.,Bug / System Error,High
TCK-12016,"Ticket opened by employee: Physical Ethernet port at desk #38 has no link light and does not assign a DHCP IP address. Affects more than 2,000 active concurrent users.",Technical / IT Support,Low
TCK-12434,Customer reports: Outlook desktop app crashes repeatedly during startup with error 'MAPI32.DLL missing or corrupt'. No immediate workaround available; critical customer escalation.,Technical / IT Support,Medium
TCK-11422,Please grant Administrator privileges and workspace owner role to new hire j.smith@piedpiper.com. Causes immediate revenue loss and prevents checkout completion.,Account & Access,High
TCK-12310,"Inquiry received: CrowdStrike endpoint sensor is consuming 98% CPU continuously, causing laptop to freeze. No immediate workaround available; critical customer escalation.",Technical / IT Support,High
TCK-11878,"Kindly increase maximum file upload limit from 10MB to 100MB to support uploading short debugging screen recordings. Only affects a single user, but workaround is cumbersome.",Feature Request,Low
TCK-11583,Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Visual bug only; functional workflows remain operational.,Feature Request,Medium
TCK-10803,Payment gateway webhook failed after customer checkout; customer was charged but order shows unpaid. Minor inconvenience for internal staff.,Billing & Payment,Critical
TCK-11015,"Need help configuring Role-Based Access Control (RBAC) permissions for third-party auditing contractors. Only affects a single user, but workaround is cumbersome.",Account & Access,Low
TCK-10308,"Urgent assistance requested: Bug discovered in Notification Queue: uploading a 25MB CSV data file yields incorrect calculation results. Low impact, customer is just inquiring for future planning.",Bug / System Error,Critical
TCK-12209,Office Wi-Fi in the 4th floor engineering wing is suffering severe packet loss and DNS resolution timeouts. High severity as our SLA requires a resolution within 2 hours.,Technical / IT Support,High
TCK-10605,"Inquiry received: Account marked past due and suspended, but wire transfer of $158 was completed 3 business days ago. Affects more than 2,000 active concurrent users.",Billing & Payment,Critical
TCK-12305,Customer reports: Floor 3 network printer is displaying 'Paper Jam Error 52' even though the internal tray is completely clear. Minor inconvenience for internal staff.,Technical / IT Support,Critical
TCK-12301,"Local Docker desktop engine fails to start, reporting 'Hardware-assisted virtualization is disabled in UEFI'. This is blocking the entire finance department from closing month-end accounts.",Technical / IT Support,Medium
TCK-11404,Password reset link gives 'HTTP 400 Token Invalid or Expired' immediately upon opening. This is blocking the entire finance department from closing month-end accounts.,Account & Access,High
TCK-12297,Assistance needed to configure corporate AWS CLI credentials and kubectl context on developer workstation. Halts all production CI/CD deployments across engineering.,Technical / IT Support,Low
TCK-12140,"Client wrote: Physical Ethernet port at desk #38 has no link light and does not assign a DHCP IP address. Affects more than 2,000 active concurrent users.",Technical / IT Support,Low
TCK-10854,Requesting official formal price quote for expanding from 50 to 150 user licenses for Globex Global. Causes immediate revenue loss and prevents checkout completion.,Billing & Payment,Low
TCK-11196,Account locked after multiple failed attempts. Please unlock username 't.tanaka' immediately. High severity as our SLA requires a resolution within 2 hours.,Account & Access,Medium
TCK-10882,"Automated monitoring alert: Please update our billing address to 402 Market St, Toronto and re-send the invoice #46083. Low impact, customer is just inquiring for future planning.",Billing & Payment,Medium
TCK-10301,"Internal incident report: Data corruption risk: After importing customer leads from Salesforce, previously saved records disappear from Inventory Microservice. Minor inconvenience for internal staff.",Bug / System Error,Critical
TCK-12070,"User stated: Local Docker desktop engine fails to start, reporting 'Hardware-assisted virtualization is disabled in UEFI'. Visual bug only; functional workflows remain operational.",Technical / IT Support,Medium
TCK-11184,"Issue logged via web portal: Need help configuring Role-Based Access Control (RBAC) permissions for third-party auditing contractors. Only affects a single user, but workaround is cumbersome.",Account & Access,Low
TCK-12357,"CrowdStrike endpoint sensor is consuming 98% CPU continuously, causing laptop to freeze. Affects more than 2,000 active concurrent users.",Technical / IT Support,High
TCK-11617,Can you support bulk employee CSV upload? Manually creating individual user accounts is too slow. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Medium
TCK-10988,"Please update our billing address to 109 Market St, New York and re-send the invoice #86382. Halts all production CI/CD deployments across engineering.",Billing & Payment,Critical
TCK-10770,"Urgent assistance requested: Invoice #25004 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-25004. Only affects a single user, but workaround is cumbersome.",Billing & Payment,Medium
TCK-10032,Issue logged via web portal: Encountered a fatal crash during clicking the bulk submit button. The screen went completely blank and logged HTTP 500 Internal Server Error. Minor inconvenience for internal staff.,Bug / System Error,High
TCK-12097,"Direct message from enterprise admin: Local Docker desktop engine fails to start, reporting 'Hardware-assisted virtualization is disabled in UEFI'. Affects more than 2,000 active concurrent users.",Technical / IT Support,Medium
TCK-10483,Intermittent failure: processing payroll deductions for all employees fails with Database connection pool exhausted for about 15% of requests. No immediate workaround available; critical customer escalation.,Bug / System Error,Medium
TCK-10107,"Crash report: Worker thread terminated unexpectedly with OutOfMemoryError: Java heap space while filtering transaction logs by timestamp. Low impact, customer is just inquiring for future planning.",Bug / System Error,Critical
TCK-11324,Company-wide SSO login outage: Okta SAML returns 'Invalid assertion signature'. All employees locked out! Minor inconvenience for internal staff.,Account & Access,Critical
TCK-10119,"Client wrote: Data corruption risk: After invoking the batch synchronization API, previously saved records disappear from Batch Processing Worker. Halts all production CI/CD deployments across engineering.",Bug / System Error,Critical
TCK-11825,Direct message from enterprise admin: We would love the ability to export all chart visualizations directly to high-res SVG or vector PDF. Minor inconvenience for internal staff.,Feature Request,Low
TCK-11859,Direct message from enterprise admin: Requesting comprehensive audit log viewer in the admin console to track configuration modifications. Halts all production CI/CD deployments across engineering.,Feature Request,Medium
TCK-11594,"Feature request: Allow custom branding and company logo white-labeling on client-facing export reports. Only affects a single user, but workaround is cumbersome.",Feature Request,Low
TCK-10021,Encountered a fatal crash during clicking the bulk submit button. The screen went completely blank and logged HTTP 502 Bad Gateway. No immediate workaround available; critical customer escalation.,Bug / System Error,High
TCK-11256,Customer reports: Two-Factor Authentication (2FA) SMS verification code is not being delivered to phone ending in 3827. Minor inconvenience for internal staff.,Account & Access,Critical
TCK-11116,Report from customer success: How can I transfer primary account ownership from m.garcia@cyberdynesystems.com to finance@company.com? Causes immediate revenue loss and prevents checkout completion.,Account & Access,Critical
TCK-10949,Invoice #53488 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-53488. Causes immediate revenue loss and prevents checkout completion.,Billing & Payment,Medium
TCK-11519,Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. This is blocking the entire finance department from closing month-end accounts.,Feature Request,High
TCK-12459,"Client wrote: Internal code repository server (git.internal.corp) is completely unreachable; SSH connection timed out on port 22. Only affects a single user, but workaround is cumbersome.",Technical / IT Support,Critical
TCK-11610,Report from customer success: Requesting Webhook support for ticket status updates so our engineering team can trigger custom Slack alerts. Visual bug only; functional workflows remain operational.,Feature Request,Medium
TCK-11538,Escalation notice: Requesting Webhook support for ticket status updates so our engineering team can trigger custom Slack alerts. Causes immediate revenue loss and prevents checkout completion.,Feature Request,Low
TCK-10544,"Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Umbrella Corp. Only affects a single user, but workaround is cumbersome.",Billing & Payment,Low
TCK-11321,Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Pied Piper' despite being admin. Minor inconvenience for internal staff.,Account & Access,Medium
TCK-12109,User stated: Need replacement 90W USB-C AC power adapter for Dell Latitude laptop; current cable has a frayed wire. Causes immediate revenue loss and prevents checkout completion.,Technical / IT Support,Low
TCK-11008,Locked out of account. Password reset email never arrives for user j.smith@globexglobal.com. No immediate workaround available; critical customer escalation.,Account & Access,High
TCK-11608,Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Minor inconvenience for internal staff.,Feature Request,Medium
TCK-11528,"Client wrote: Feature enhancement: Support multi-currency checkout (EUR, GBP, JPY, CAD) on the customer-facing billing page. Visual bug only; functional workflows remain operational.",Feature Request,Medium
TCK-10668,Critical alert logged: Payment gateway webhook failed after customer checkout; customer was charged but order shows unpaid. Halts all production CI/CD deployments across engineering.,Billing & Payment,Critical
TCK-10537,Direct message from enterprise admin: Payment gateway webhook failed after customer checkout; customer was charged but order shows unpaid. Causes immediate revenue loss and prevents checkout completion.,Billing & Payment,Critical
TCK-10012,Escalation notice: Search index seems desynchronized in Search Backend; new entries do not appear after rendering the executive KPI dashboard. No immediate workaround available; critical customer escalation.,Bug / System Error,Critical
TCK-10377,"Client wrote: Application crashes consistently when filtering transaction logs by timestamp. Error message: 'Deadlock detected in transaction #TX-9482'. Environment: on mobile client iOS 17.4. Only affects a single user, but workaround is cumbersome.",Bug / System Error,Critical
TCK-10711,Urgent assistance requested: Payment gateway webhook failed after customer checkout; customer was charged but order shows unpaid. Causes immediate revenue loss and prevents checkout completion.,Billing & Payment,Critical
TCK-11973,Client wrote: Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Minor inconvenience for internal staff.,Feature Request,Medium
TCK-11122,"User session randomly terminates every 3 minutes, forcing re-authentication on on Ubuntu 22.04 LTS workstation. Affects more than 2,000 active concurrent users.",Account & Access,Medium
TCK-11742,Escalation notice: Requesting Webhook support for ticket status updates so our engineering team can trigger custom Slack alerts. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Medium
TCK-11108,User stated: Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Initech LLC' despite being admin. Causes immediate revenue loss and prevents checkout completion.,Account & Access,Medium
TCK-10303,"Ticket opened by employee: The export feature is generating corrupted, 0-byte files when saving nested profile permissions. High severity as our SLA requires a resolution within 2 hours.",Bug / System Error,Medium
TCK-11460,"Locked out of account. Password reset email never arrives for user k.chen@umbrellacorp.com. Affects more than 2,000 active concurrent users.",Account & Access,High
TCK-11470,Ticket opened by employee: Account locked after multiple failed attempts. Please unlock username 'd.rossi' immediately. Halts all production CI/CD deployments across engineering.,Account & Access,Medium
TCK-11847,"Feature enhancement: Support multi-currency checkout (EUR, GBP, JPY, CAD) on the customer-facing billing page. Affects more than 2,000 active concurrent users.",Feature Request,Medium
TCK-11660,Client wrote: Feature request: Allow custom branding and company logo white-labeling on client-facing export reports. Halts all production CI/CD deployments across engineering.,Feature Request,Low
TCK-10717,"Support inquiry from tier-1: Please update our billing address to 297 Market St, Sydney and re-send the invoice #32769. Visual bug only; functional workflows remain operational.",Billing & Payment,Low
TCK-11551,Ticket opened by employee: Can you support bulk employee CSV upload? Manually creating individual user accounts is too slow. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Medium
TCK-10871,Need clarification on line-item usage charges for data egress on current monthly billing statement. Visual bug only; functional workflows remain operational.,Billing & Payment,Low
TCK-10023,Report from customer success: Unhandled exception thrown during uploading a 25MB CSV data file. Stack trace indicates HTTP 401 Unauthorized. on production cluster us-east-1. This is blocking the entire finance department from closing month-end accounts.,Bug / System Error,High
TCK-11738,Ticket opened by employee: Feature Request: Please add native Dark Mode support across the entire web application dashboard. Halts all production CI/CD deployments across engineering.,Feature Request,Low
TCK-10416,UI regression: Form fields overlap and become unclickable in Search Backend when saving nested profile permissions. Minor inconvenience for internal staff.,Bug / System Error,Low
TCK-11530,Inquiry received: Feature Request: Please add native Dark Mode support across the entire web application dashboard. Halts all production CI/CD deployments across engineering.,Feature Request,Low
TCK-11264,Inquiry received: Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Massive Dynamic' despite being admin. Causes immediate revenue loss and prevents checkout completion.,Account & Access,Medium
TCK-10624,"Please update our billing address to 733 Market St, Toronto and re-send the invoice #93633. This is blocking the entire finance department from closing month-end accounts.",Billing & Payment,Low
TCK-12020,"Inquiry received: Requesting standard workstation hardware provisioning for incoming senior software engineer starting next week. Only affects a single user, but workaround is cumbersome.",Technical / IT Support,Low
TCK-10462,Critical alert logged: Search index seems desynchronized in Ingestion Pipeline; new entries do not appear after clicking the bulk submit button. Minor inconvenience for internal staff.,Bug / System Error,Medium
TCK-10556,"Invoice #69338 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-69338. Only affects a single user, but workaround is cumbersome.",Billing & Payment,Medium
TCK-11544,"Escalation notice: Feature enhancement: Support multi-currency checkout (EUR, GBP, JPY, CAD) on the customer-facing billing page. Visual bug only; functional workflows remain operational.",Feature Request,Critical
TCK-10848,Client wrote: Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Pied Piper. High severity as our SLA requires a resolution within 2 hours.,Billing & Payment,High
TCK-10881,"Direct message from enterprise admin: Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Stark Industries. Only affects a single user, but workaround is cumbersome.",Billing & Payment,High
TCK-11420,"Client wrote: Password reset link gives 'HTTP 400 Token Invalid or Expired' immediately upon opening. Affects more than 2,000 active concurrent users.",Account & Access,High
TCK-10172,Support inquiry from tier-1: Encountered a fatal crash during generating the annual revenue reconciliation report. The screen went completely blank and logged Database connection pool exhausted. Causes immediate revenue loss and prevents checkout completion.,Bug / System Error,High
TCK-11766,Automated monitoring alert: Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Visual bug only; functional workflows remain operational.,Feature Request,Medium
TCK-10271,"User stated: Search index seems desynchronized in Notification Queue; new entries do not appear after uploading a 25MB CSV data file. Low impact, customer is just inquiring for future planning.",Bug / System Error,Medium
TCK-11778,Critical alert logged: Kindly increase maximum file upload limit from 10MB to 100MB to support uploading short debugging screen recordings. Minor inconvenience for internal staff.,Feature Request,Low
TCK-10755,"Report from customer success: Cannot download tax / VAT invoice receipt for invoice #66629. Need it immediately for external audit. Affects more than 2,000 active concurrent users.",Billing & Payment,Medium
TCK-11412,Client wrote: Account locked after multiple failed attempts. Please unlock username 'j.smith' immediately. This is blocking the entire finance department from closing month-end accounts.,Account & Access,Medium
TCK-10918,Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Hooli Tech. Halts all production CI/CD deployments across engineering.,Billing & Payment,High
TCK-11481,"Automated monitoring alert: User session randomly terminates every 3 minutes, forcing re-authentication on on dedicated AWS EC2 c5.4xlarge instance. Affects more than 2,000 active concurrent users.",Account & Access,Medium
TCK-10877,Cannot download tax / VAT invoice receipt for invoice #27386. Need it immediately for external audit. No immediate workaround available; critical customer escalation.,Billing & Payment,Medium
TCK-10386,"Ticket opened by employee: The export feature is generating corrupted, 0-byte files when rendering the executive KPI dashboard. Low impact, customer is just inquiring for future planning.",Bug / System Error,Medium
TCK-10196,Application crashes consistently when generating the annual revenue reconciliation report. Error message: 'HTTP 504 Gateway Timeout'. Environment: via Android app v4.2.1. Minor inconvenience for internal staff.,Bug / System Error,Critical
TCK-12498,Inquiry received: Assistance needed to configure corporate AWS CLI credentials and kubectl context on developer workstation. No immediate workaround available; critical customer escalation.,Technical / IT Support,Low
TCK-12367,"Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Low impact, customer is just inquiring for future planning.",Technical / IT Support,Critical
TCK-12472,"User stated: Assistance needed to configure corporate AWS CLI credentials and kubectl context on developer workstation. Only affects a single user, but workaround is cumbersome.",Technical / IT Support,Low
TCK-10031,Issue logged via web portal: Unhandled exception thrown during saving nested profile permissions. Stack trace indicates OutOfMemoryError: Java heap space. via Android app v4.2.1. Halts all production CI/CD deployments across engineering.,Bug / System Error,High
TCK-10667,"Disputed transaction: We were charged the Enterprise annual tier rate of $2,763 instead of monthly tier. High severity as our SLA requires a resolution within 2 hours.",Billing & Payment,High
TCK-12025,Internal code repository server (git.internal.corp) is completely unreachable; SSH connection timed out on port 22. Minor inconvenience for internal staff.,Technical / IT Support,Critical
TCK-10036,Support inquiry from tier-1: Unhandled exception thrown during uploading a 25MB CSV data file. Stack trace indicates Database connection pool exhausted. in internal Kubernetes namespace 'billing-prod'. High severity as our SLA requires a resolution within 2 hours.,Bug / System Error,High
TCK-11531,Issue logged via web portal: Feature Request: Please add native Dark Mode support across the entire web application dashboard. Halts all production CI/CD deployments across engineering.,Feature Request,Low
TCK-10852,Requesting official formal price quote for expanding from 50 to 150 user licenses for Massive Dynamic. Halts all production CI/CD deployments across engineering.,Billing & Payment,Low
TCK-10536,"Requesting official formal price quote for expanding from 50 to 150 user licenses for Cyberdyne Systems. Low impact, customer is just inquiring for future planning.",Billing & Payment,Low
TCK-11029,Immediate offboarding request: Please revoke all API tokens and deactivate account for former staff t.tanaka@piedpiper.com. Causes immediate revenue loss and prevents checkout completion.,Account & Access,High
TCK-10651,Subscription auto-renewed without prior 30-day notice; requesting full refund for unused seat licenses. No immediate workaround available; critical customer escalation.,Billing & Payment,Medium
TCK-11462,Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Wayne Enterprises' despite being admin. No immediate workaround available; critical customer escalation.,Account & Access,Medium
TCK-11255,Ticket opened by employee: Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Stark Industries' despite being admin. This is blocking the entire finance department from closing month-end accounts.,Account & Access,Medium
TCK-12371,Internal incident report: Dual external monitors are not recognized when connecting Lenovo ThinkPad to the USB-C docking station. Visual bug only; functional workflows remain operational.,Technical / IT Support,Low
TCK-12189,Direct message from enterprise admin: Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Halts all production CI/CD deployments across engineering.,Technical / IT Support,Critical
TCK-10266,Report from customer success: Application crashes consistently when saving nested profile permissions. Error message: 'SocketTimeoutException after 30000ms'. Environment: in staging environment. No immediate workaround available; critical customer escalation.,Bug / System Error,Critical
TCK-11763,"Feature enhancement: Support multi-currency checkout (EUR, GBP, JPY, CAD) on the customer-facing billing page. Affects more than 2,000 active concurrent users.",Feature Request,Medium
TCK-11469,Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Pied Piper' despite being admin. Minor inconvenience for internal staff.,Account & Access,Medium
TCK-10972,"Account marked past due and suspended, but wire transfer of $1,478 was completed 3 business days ago. Only affects a single user, but workaround is cumbersome.",Billing & Payment,Critical
TCK-12136,Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Visual bug only; functional workflows remain operational.,Technical / IT Support,Critical
TCK-11804,"Can we add granular tag-based filtering and custom multi-select fields to the main ticket view? Affects more than 2,000 active concurrent users.",Feature Request,Low
TCK-11831,Would appreciate an automated weekly email digest summarizing team performance and open ticket counts. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Low
TCK-11291,"Ticket opened by employee: User session randomly terminates every 3 minutes, forcing re-authentication on connecting through corporate Zscaler VPN. This is blocking the entire finance department from closing month-end accounts.",Account & Access,Medium
TCK-12044,"CrowdStrike endpoint sensor is consuming 98% CPU continuously, causing laptop to freeze. Visual bug only; functional workflows remain operational.",Technical / IT Support,High
TCK-10201,Unhandled exception thrown during executing SQL query against reporting replica. Stack trace indicates java.lang.NullPointerException. on mobile client iOS 17.4. No immediate workaround available; critical customer escalation.,Bug / System Error,High
TCK-11282,Immediate offboarding request: Please revoke all API tokens and deactivate account for former staff t.tanaka@wayneenterprises.com. No immediate workaround available; critical customer escalation.,Account & Access,High
TCK-11694,Requesting Webhook support for ticket status updates so our engineering team can trigger custom Slack alerts. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Medium
TCK-11446,Account locked after multiple failed attempts. Please unlock username 'k.chen' immediately. Visual bug only; functional workflows remain operational.,Account & Access,Medium
TCK-10254,"UI regression: Form fields overlap and become unclickable in Search Backend when rendering the executive KPI dashboard. Only affects a single user, but workaround is cumbersome.",Bug / System Error,Low
TCK-12484,"Ticket opened by employee: Outlook desktop app crashes repeatedly during startup with error 'MAPI32.DLL missing or corrupt'. Only affects a single user, but workaround is cumbersome.",Technical / IT Support,Medium
TCK-11575,We would love the ability to export all chart visualizations directly to high-res SVG or vector PDF. Halts all production CI/CD deployments across engineering.,Feature Request,Medium
TCK-10588,Client wrote: Payment gateway webhook failed after customer checkout; customer was charged but order shows unpaid. Visual bug only; functional workflows remain operational.,Billing & Payment,Critical
TCK-10116,Internal incident report: UI regression: Form fields overlap and become unclickable in Checkout Service when executing SQL query against reporting replica. No immediate workaround available; critical customer escalation.,Bug / System Error,Low
TCK-10460,Issue logged via web portal: Crash report: Worker thread terminated unexpectedly with OutOfMemoryError: Java heap space while rendering the executive KPI dashboard. Causes immediate revenue loss and prevents checkout completion.,Bug / System Error,Critical
TCK-11799,Kindly increase maximum file upload limit from 10MB to 100MB to support uploading short debugging screen recordings. No immediate workaround available; critical customer escalation.,Feature Request,Low
TCK-11891,Can you support bulk employee CSV upload? Manually creating individual user accounts is too slow. Causes immediate revenue loss and prevents checkout completion.,Feature Request,Medium
TCK-11179,Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Stark Industries' despite being admin. No immediate workaround available; critical customer escalation.,Account & Access,Medium
TCK-10215,User stated: Crash report: Worker thread terminated unexpectedly with HTTP 401 Unauthorized while filtering transaction logs by timestamp. Visual bug only; functional workflows remain operational.,Bug / System Error,Critical
TCK-10325,Support inquiry from tier-1: Encountered a fatal crash during clicking the bulk submit button. The screen went completely blank and logged HTTP 403 Forbidden - Access Denied. Minor inconvenience for internal staff.,Bug / System Error,High
TCK-11041,"Direct message from enterprise admin: User session randomly terminates every 3 minutes, forcing re-authentication on on corporate Lenovo ThinkPad T14. This is blocking the entire finance department from closing month-end accounts.",Account & Access,Medium
